id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_kasus,jumlah_kasus,satuan,tahun
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,KASUS KUMULATIF,647,ORANG,2021
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS BARU,123,ORANG,2021
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KASUS KUMULATIF,645,ORANG,2021
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS BARU,98,ORANG,2021
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KASUS KUMULATIF,550,ORANG,2021
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS BARU,206,ORANG,2021
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KASUS KUMULATIF,4223,ORANG,2021
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS BARU,27,ORANG,2021
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,KASUS KUMULATIF,222,ORANG,2021
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS BARU,18,ORANG,2021
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KASUS KUMULATIF,285,ORANG,2021
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS BARU,33,ORANG,2021
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KASUS KUMULATIF,552,ORANG,2021
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS BARU,0,ORANG,2021
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,KASUS KUMULATIF,1,ORANG,2021
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS BARU,67,ORANG,2021
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KASUS KUMULATIF,494,ORANG,2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS BARU,0,ORANG,2021
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KASUS KUMULATIF,5,ORANG,2021
145,32,JAWA BARAT,3271,KOTA BOGOR,KASUS BARU,36,ORANG,2021
146,32,JAWA BARAT,3271,KOTA BOGOR,KASUS KUMULATIF,42,ORANG,2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS BARU,29,ORANG,2021
148,32,JAWA BARAT,3272,KOTA SUKABUMI,KASUS KUMULATIF,572,ORANG,2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS BARU,70,ORANG,2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,KASUS KUMULATIF,2397,ORANG,2021
151,32,JAWA BARAT,3274,KOTA CIREBON,KASUS BARU,114,ORANG,2021
152,32,JAWA BARAT,3274,KOTA CIREBON,KASUS KUMULATIF,669,ORANG,2021
153,32,JAWA BARAT,3275,KOTA BEKASI,KASUS BARU,0,ORANG,2021
154,32,JAWA BARAT,3275,KOTA BEKASI,KASUS KUMULATIF,562,ORANG,2021
155,32,JAWA BARAT,3276,KOTA DEPOK,KASUS BARU,13,ORANG,2021
156,32,JAWA BARAT,3276,KOTA DEPOK,KASUS KUMULATIF,188,ORANG,2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,KASUS BARU,12,ORANG,2021
158,32,JAWA BARAT,3277,KOTA CIMAHI,KASUS KUMULATIF,212,ORANG,2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KASUS BARU,65,ORANG,2021
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KASUS KUMULATIF,0,ORANG,2021
161,32,JAWA BARAT,3279,KOTA BANJAR,KASUS BARU,0,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,KASUS KUMULATIF,0,ORANG,2021
